Google Scholar Category,Google Scholar Subcategory,Venue,h5 Index,cs_venue,fuzzy_venue_matches,paper_count
Engineering & Computer Science,Manufacturing & Machinery,international-journal-of-production-research,130,0,"International Journal of Production Research, International journal of research publications",17
Engineering & Computer Science,Manufacturing & Machinery,computers-and-industrial-engineering,117,0,Computers & Industrial Engineering,10
Engineering & Computer Science,Manufacturing & Machinery,the-international-journal-of-advanced-manufacturing-technology,101,0,The International Journal of Advanced Manufacturing Technology,73
Engineering & Computer Science,Manufacturing & Machinery,computers-in-industry,95,0,Computers in Industry,8
Engineering & Computer Science,Manufacturing & Machinery,journal-of-manufacturing-systems,95,0,Journal of Manufacturing Systems,3
Engineering & Computer Science,Manufacturing & Machinery,robotics-and-computer-integrated-manufacturing,88,0,Robotics and Computer-integrated Manufacturing,5
Engineering & Computer Science,Manufacturing & Machinery,journal-of-manufacturing-processes,84,0,Journal of Manufacturing Processes,3
Engineering & Computer Science,Manufacturing & Machinery,journal-of-intelligent-manufacturing,79,0,Journal of Intelligent Manufacturing,48
Engineering & Computer Science,Manufacturing & Machinery,procedia-manufacturing,73,0,Procedia Manufacturing,4
Engineering & Computer Science,Manufacturing & Machinery,procedia-cirp,69,0,Procedia CIRP,17
Engineering & Computer Science,Manufacturing & Machinery,journal-of-manufacturing-technology-management,68,0,Journal of Manufacturing Technology Management,1
Engineering & Computer Science,Manufacturing & Machinery,cirp-journal-of-manufacturing-science-and-technology,44,0,Cirp Journal of Manufacturing Science and Technology,2
Engineering & Computer Science,Materials Engineering,advanced-materials,327,0,"Advanced Materials, Materials advances",7
Engineering & Computer Science,Materials Engineering,advanced-functional-materials,244,0,Advanced Functional Materials,1
Engineering & Computer Science,Materials Engineering,advanced-energy-materials,234,0,Advanced Energy Materials,3
Engineering & Computer Science,Materials Engineering,acs-nano,221,0,ACS Nano,7
Engineering & Computer Science,Materials Engineering,energy-and-environmental-science,211,0,Energy and Environmental Science,2
Engineering & Computer Science,Materials Engineering,journal-of-materials-chemistry-a,184,0,Journal of Materials Chemistry C,2
Engineering & Computer Science,Materials Engineering,acs-applied-materials-and-interfaces,177,0,ACS Applied Materials & Interfaces,6
Engineering & Computer Science,Materials Engineering,small,164,0,Small,1
Engineering & Computer Science,Materials Engineering,energy-storage-materials,161,0,Energy Storage Materials,1
Engineering & Computer Science,Materials Engineering,nano-letters,155,0,Nano Letters,3
Engineering & Computer Science,Materials Engineering,nature-reviews-materials,149,0,Nature Reviews Materials,1
Engineering & Computer Science,Materials Engineering,carbon,141,0,Carbon,1
Engineering & Computer Science,Materials Engineering,additive-manufacturing,135,0,Additive manufacturing,1
Engineering & Computer Science,Materials Engineering,nano-micro-letters,134,0,Nano-micro Letters,2
Engineering & Computer Science,Materials Engineering,nanomaterials,131,0,Nanomaterials,22
Engineering & Computer Science,Materials Engineering,materials,131,0,Materials,231
Engineering & Computer Science,Mechanical Engineering,composite-structures,101,0,Composite Structures,3
Engineering & Computer Science,Mechanical Engineering,international-journal-of-mechanical-sciences,86,0,"International Journal of Mechanical Sciences, International Journal of Medical Sciences",6
Engineering & Computer Science,Mechanical Engineering,journal-of-the-mechanics-and-physics-of-solids,63,0,Journal of The Mechanics and Physics of Solids,2
Engineering & Computer Science,Mechanical Engineering,theoretical-and-applied-fracture-mechanics,61,0,Theoretical and Applied Fracture Mechanics,1
Engineering & Computer Science,Mechanical Engineering,international-journal-of-solids-and-structures,52,0,International Journal of Solids and Structures,1
Engineering & Computer Science,Mechanical Engineering,mechanics-of-advanced-materials-and-structures,51,0,Mechanics of Advanced Materials and Structures,1
Engineering & Computer Science,Mechanical Engineering,international-journal-of-engineering-science,50,0,"International Journal of Engineering, International Journal of Engineering Science, International Journal of Online Engineering, International journal of engineering research & science",24
Engineering & Computer Science,Mechanical Engineering,journal-of-mechanical-design,48,0,Journal of Mechanical Design,19
Engineering & Computer Science,Mechanical Engineering,journal-of-the-brazilian-society-of-mechanical-sciences-and-engineering,47,0,Journal of The Brazilian Society of Mechanical Sciences and Engineering,8
Engineering & Computer Science,Mechanical Engineering,friction,46,0,Friction,7
Engineering & Computer Science,Mechanical Engineering,proceedings-of-the-institution-of-mechanical-engineers-part-c-journal-of-mechanical-engineering-science,43,0,"Proceedings Of The Institution Of Mechanical Engineers, Part E: Journal Of Process Mechanical Engineering",1
Engineering & Computer Science,Mechanical Engineering,chinese-journal-of-mechanical-engineering,42,0,Chinese journal of mechanical engineering,16
Engineering & Computer Science,Mechanical Engineering,advances-in-mechanical-engineering,41,0,Advances in Mechanical Engineering,38
Engineering & Computer Science,Medical Informatics,journal-of-medical-internet-research,160,0,"Interactive journal of medical research, Journal of International Medical Research, Journal of Medical Internet Research",295
Engineering & Computer Science,Medical Informatics,npj-digital-medicine,109,0,npj digital medicine,169
Engineering & Computer Science,Medical Informatics,ieee-journal-of-biomedical-and-health-informatics,103,0,IEEE Journal of Biomedical and Health Informatics,170
Engineering & Computer Science,Medical Informatics,the-lancet-digital-health,101,0,The Lancet Digital Health,22
Engineering & Computer Science,Medical Informatics,journal-of-the-american-medical-informatics-association,84,0,Journal of the American Medical Informatics Association,193
Engineering & Computer Science,Medical Informatics,artificial-intelligence-in-medicine,78,0,Artificial Intelligence in Medicine,60
Engineering & Computer Science,Medical Informatics,journal-of-medical-systems,74,0,Journal of Medical Systems,36
Engineering & Computer Science,Medical Informatics,international-journal-of-medical-informatics,72,0,International Journal of Medical Informatics,27
Engineering & Computer Science,Medical Informatics,journal-of-biomedical-informatics,70,0,Journal of Biomedical Informatics,123
Engineering & Computer Science,Medical Informatics,bmc-medical-informatics-and-decision-making,70,0,BMC Medical Informatics and Decision Making,855
Engineering & Computer Science,Medical Informatics,jmir-medical-informatics,52,0,JMIR medical informatics,356
Engineering & Computer Science,Medical Informatics,health-informatics-journal,48,0,Health Informatics Journal,62
Engineering & Computer Science,Medical Informatics,digital-health,46,0,Digital health,61
Engineering & Computer Science,Medical Informatics,health-policy-and-technology,42,0,Health policy and technology,2
Engineering & Computer Science,Medical Informatics,jmir-serious-games,40,0,JMIR serious games,8
Engineering & Computer Science,Medical Informatics,health-and-technology,39,0,Health and technology,27
Engineering & Computer Science,Medical Informatics,jmir-formative-research,36,0,JMIR formative research,87
Engineering & Computer Science,Metallurgy,materials-science-and-engineering-a,101,0,Materials Science and Engineering R,1
Engineering & Computer Science,Metallurgy,metals,73,0,Metals,33
Engineering & Computer Science,Metallurgy,intermetallics,51,0,Intermetallics,1
Engineering & Computer Science,Metallurgy,journal-of-materials-engineering-and-performance,48,0,Journal of Materials Engineering and Performance,2
Engineering & Computer Science,Metallurgy,metallurgical-and-materials-transactions-a,45,0,Metallurgical and Materials Transactions,5
Engineering & Computer Science,Metallurgy,metals-and-materials-international,44,0,Metals and Materials International,1
Engineering & Computer Science,Metallurgy,metallurgical-and-materials-transactions-b,37,0,Metallurgical and Materials Transactions,5
Engineering & Computer Science,Metallurgy,journal-of-thermal-spray-technology,34,0,Journal of Thermal Spray Technology,2
Engineering & Computer Science,Microelectronics & Electronic Packaging,ieee-transactions-on-electron-devices,61,0,IEEE Transactions on Electron Devices,1
Engineering & Computer Science,Microelectronics & Electronic Packaging,microwave-and-optical-technology-letters,40,0,Microwave and Optical Technology Letters,1
Engineering & Computer Science,Microelectronics & Electronic Packaging,ieee-transactions-on-components-packaging-and-manufacturing-technology,39,0,"IEEE Transactions on Components, Packaging and Manufacturing Technology",1
Engineering & Computer Science,Microelectronics & Electronic Packaging,ieee-journal-of-the-electron-devices-society,36,0,IEEE Journal of the Electron Devices Society,1
Engineering & Computer Science,Microelectronics & Electronic Packaging,electronics-letters,34,0,Electronics Letters,18
Engineering & Computer Science,Microelectronics & Electronic Packaging,solid-state-electronics,28,0,Solid-state Electronics,1
Engineering & Computer Science,Microelectronics & Electronic Packaging,analog-integrated-circuits-and-signal-processing,28,0,Analog Integrated Circuits and Signal Processing,1
Engineering & Computer Science,Mining & Mineral Resources,rock-mechanics-and-rock-engineering,76,0,Rock Mechanics and Rock Engineering,5
Engineering & Computer Science,Mining & Mineral Resources,minerals-engineering,67,0,Minerals Engineering,1
Engineering & Computer Science,Mining & Mineral Resources,international-journal-of-mining-science-and-technology,60,0,MATTER: International Journal of Science and Technology,6
Engineering & Computer Science,Mining & Mineral Resources,international-journal-of-coal-science-and-technology,41,0,"Aceh International Journal of Science and Technology, International Journal of Coal Science & Technology, International Journal of Environmental Science and Technology, International Journal of Food Science and Technology, International journal on data science and technology",24
Engineering & Computer Science,Mining & Mineral Resources,geotechnical-and-geological-engineering,37,0,Geotechnical and Geological Engineering,4
Engineering & Computer Science,Mining & Mineral Resources,geophysical-prospecting,33,0,Geophysical Prospecting,7
Engineering & Computer Science,Mining & Mineral Resources,mining-metallurgy-and-exploration,30,0,"Mining, metallurgy & exploration",2
Engineering & Computer Science,Mining & Mineral Resources,journal-of-sustainable-mining,18,0,Journal of Sustainable Mining,3
Engineering & Computer Science,Multimedia,multimedia-tools-and-applications,105,0,Multimedia Tools and Applications,384
Engineering & Computer Science,Multimedia,ieee-transactions-on-multimedia,101,0,IEEE Transactions on Multimedia,188
Engineering & Computer Science,Multimedia,ieee-transactions-on-circuits-and-systems-for-video-technology,94,0,IEEE Transactions on Circuits and Systems for Video Technology,94
Engineering & Computer Science,Multimedia,ieee-international-conference-on-image-processing-icip,66,0,2022 IEEE International Conference on Image Processing (ICIP),93
Engineering & Computer Science,Multimedia,acm-transactions-on-multimedia-computing-communications-and-applications-tomm,55,0,"ACM Transactions on Multimedia Computing, Communications, and Applications",50
Engineering & Computer Science,Multimedia,journal-of-visual-communication-and-image-representation,52,0,Journal of Visual Communication and Image Representation,14
Engineering & Computer Science,Multimedia,signal-processing-image-communication,50,0,"Signal Processing-image Communication, Signal Processing: Image Communication",30
Engineering & Computer Science,Multimedia,iet-image-processing,49,0,Iet Image Processing,37
Engineering & Computer Science,Multimedia,ieee-international-conference-on-multimedia-and-expo,46,0,2022 IEEE International Conference on Multimedia and Expo (ICME),49
Engineering & Computer Science,Multimedia,multimedia-systems,41,0,Multimedia Systems,29
Engineering & Computer Science,Multimedia,eurasip-journal-on-image-and-video-processing,31,0,Eurasip Journal on Image and Video Processing,34
Engineering & Computer Science,Multimedia,computational-visual-media,29,0,Computational Visual Media,30
Engineering & Computer Science,Multimedia,ieee-conference-on-multimedia-information-processing-and-retrieval,26,0,2019 IEEE Conference on Multimedia Information Processing and Retrieval (MIPR),3
Engineering & Computer Science,Nanotechnology,acs-nano,221,0,ACS Nano,7
Engineering & Computer Science,Nanotechnology,acs-applied-materials-and-interfaces,177,0,ACS Applied Materials & Interfaces,6
Engineering & Computer Science,Nanotechnology,small,164,0,Small,1
Engineering & Computer Science,Nanotechnology,nano-letters,155,0,Nano Letters,3
Engineering & Computer Science,Nanotechnology,nano-micro-letters,134,0,Nano-micro Letters,2
Engineering & Computer Science,Nanotechnology,nanomaterials,131,0,Nanomaterials,22
Engineering & Computer Science,Nanotechnology,nanoscale,131,0,Nanoscale,4
Engineering & Computer Science,Nanotechnology,advanced-optical-materials,117,0,Advanced Optical Materials,2
Engineering & Computer Science,Nanotechnology,journal-of-materials-chemistry-b,95,0,Journal of Materials Chemistry C,2
Engineering & Computer Science,Nanotechnology,the-journal-of-physical-chemistry-c,87,0,"Journal of Physical Chemistry A, Journal of Physical Chemistry B, Journal of Physical Chemistry C, The Journal of Physical Chemistry, The journal of physical chemistry",54
Engineering & Computer Science,Nanotechnology,advanced-electronic-materials,82,0,Advanced electronic materials,1
Engineering & Computer Science,Nanotechnology,nanophotonics,81,0,Nanophotonics,1
Engineering & Computer Science,Nanotechnology,journal-of-nanobiotechnology,80,0,"Journal of Nanobiotechnology, Journal of Nanotechnology",2
Engineering & Computer Science,Nanotechnology,applied-materials-today,79,0,Applied Materials Today,1
Engineering & Computer Science,Ocean & Marine Engineering,ocean-engineering,91,0,"Ocean Engineering, Open Engineering",13
Engineering & Computer Science,Ocean & Marine Engineering,journal-of-marine-science-and-engineering,66,0,"Journal of Marine Science and Engineering, Journal of science and engineering",42
Engineering & Computer Science,Ocean & Marine Engineering,ieee-journal-of-oceanic-engineering,43,0,IEEE Journal of Oceanic Engineering,1
Engineering & Computer Science,Ocean & Marine Engineering,journal-of-ocean-engineering-and-science,39,0,"Journal of Marine Science and Engineering, Journal of science and engineering",42
Engineering & Computer Science,Ocean & Marine Engineering,journal-of-marine-science-and-technology,32,0,"Journal of Science and Technology, Journal of marine science and technology, Muğla journal of science and technology",11
Engineering & Computer Science,Ocean & Marine Engineering,ships-and-offshore-structures,31,0,Ships and Offshore Structures,1
Engineering & Computer Science,Ocean & Marine Engineering,journal-of-coastal-conservation,24,0,Journal of Coastal Conservation,1
Engineering & Computer Science,Ocean & Marine Engineering,journal-of-offshore-mechanics-and-arctic-engineering,23,0,Journal of offshore mechanics and Arctic engineering,1
Engineering & Computer Science,Ocean & Marine Engineering,journal-of-marine-engineering-and-technology,20,0,Journal of Ocean Engineering and Technology,2
Engineering & Computer Science,Ocean & Marine Engineering,proceedings-of-the-institution-of-mechanical-engineers-part-m-journal-of-engineering-for-the-maritime-environment,20,0,"Proceedings Of The Institution Of Mechanical Engineers, Part M: Journal Of Engineering For The Maritime Environment",2
Engineering & Computer Science,Ocean & Marine Engineering,coastal-management,19,0,Coastal Management,1
Engineering & Computer Science,"Oil, Petroleum & Natural Gas",journal-of-petroleum-science-and-engineering,95,0,Journal of Petroleum Science and Engineering,5
Engineering & Computer Science,"Oil, Petroleum & Natural Gas",petroleum-science,49,0,Petroleum Science,4
Engineering & Computer Science,"Oil, Petroleum & Natural Gas",journal-of-petroleum-exploration-and-production-technology,46,0,Journal of Petroleum Exploration and Production Technology,39
Engineering & Computer Science,"Oil, Petroleum & Natural Gas",energy-exploration-and-exploitation,32,0,Energy Exploration & Exploitation,6
Engineering & Computer Science,"Oil, Petroleum & Natural Gas",oil-and-gas-science-and-technology-revue-difp-energies-nouvelles,23,0,Oil & Gas Science and Technology – Revue d’IFP Energies nouvelles,10
Engineering & Computer Science,Operations Research,international-journal-of-production-research,130,0,"International Journal of Production Research, International journal of research publications",17
Engineering & Computer Science,Operations Research,international-journal-of-production-economics,125,0,International Journal of Production Economics,1
Engineering & Computer Science,Operations Research,computers-and-industrial-engineering,117,0,Computers & Industrial Engineering,10
Engineering & Computer Science,Operations Research,european-journal-of-operational-research,117,0,European Journal of Operational Research,45
Engineering & Computer Science,Operations Research,annals-of-operations-research,95,0,Annals of Operations Research,79
Engineering & Computer Science,Operations Research,transportation-research-part-e-logistics-and-transportation-review,95,0,Transportation Research Part E: Logistics and Transportation Review,1
Engineering & Computer Science,Operations Research,computers-and-operations-research,72,0,Computers & Operations Research,15
Engineering & Computer Science,Operations Research,manufacturing-and-service-operations-management,71,0,Manufacturing & Service Operations Management,2
Engineering & Computer Science,Operations Research,journal-of-manufacturing-technology-management,68,0,Journal of Manufacturing Technology Management,1
Engineering & Computer Science,Operations Research,production-and-operations-management,67,0,Production and Operations Management,1
Engineering & Computer Science,Operations Research,mathematical-programming,63,0,Mathematical Programming,8
Engineering & Computer Science,Operations Research,international-journal-of-operations-and-production-management,61,0,International Journal of Operations & Production Management,1
Engineering & Computer Science,Operations Research,operations-research,58,0,"Operational Research, Operations Research",25
Engineering & Computer Science,Operations Research,transportation-science,52,0,Transportation Science,3
Engineering & Computer Science,Operations Research,international-transactions-in-operational-research,49,0,International Transactions in Operational Research,3
Engineering & Computer Science,Plasma & Fusion,nuclear-fusion,60,0,Nuclear Fusion,13
Engineering & Computer Science,Plasma & Fusion,physics-of-plasmas,49,0,Physics of Plasmas,25
Engineering & Computer Science,Plasma & Fusion,plasma-sources-science-and-technology,47,0,Plasma Sources Science and Technology,3
Engineering & Computer Science,Plasma & Fusion,fusion-engineering-and-design,39,0,Fusion Engineering and Design,1
Engineering & Computer Science,Plasma & Fusion,plasma-physics-and-controlled-fusion,38,0,Plasma Physics and Controlled Fusion,9
Engineering & Computer Science,Plasma & Fusion,ieee-transactions-on-plasma-science,34,0,IEEE Transactions on Plasma Science,4
Engineering & Computer Science,Plasma & Fusion,nuclear-materials-and-energy,32,0,Nuclear materials and energy,1
Engineering & Computer Science,Plasma & Fusion,journal-of-plasma-physics,31,0,Journal of Plasma Physics,4
Engineering & Computer Science,Plasma & Fusion,fusion-science-and-technology,20,0,Combustion Science and Technology,1
Engineering & Computer Science,Plasma & Fusion,journal-of-fusion-energy,19,0,Journal of Fusion Energy,1
Engineering & Computer Science,Plasma & Fusion,contributions-to-plasma-physics,18,0,Contributions To Plasma Physics,2
Engineering & Computer Science,Plasma & Fusion,plasma,15,0,Plasma,2
Engineering & Computer Science,Power Engineering,ieee-transactions-on-smart-grids,140,0,IEEE Transactions on Smart Grid,31
Engineering & Computer Science,Power Engineering,ieee-transactions-on-power-electronics,126,0,IEEE Transactions on Power Electronics,3
Engineering & Computer Science,Power Engineering,ieee-transactions-on-power-systems,112,0,IEEE Transactions on Power Systems,39
Engineering & Computer Science,Power Engineering,international-journal-of-electrical-power-and-energy-systems,96,0,"International Journal of Electrical Power & Energy Systems, International Journal of Electrical, Energy and Power System Engineering",11
Engineering & Computer Science,Power Engineering,ieee-transactions-on-sustainable-energy,94,0,IEEE Transactions on Sustainable Energy,2
Engineering & Computer Science,Power Engineering,ieee-journal-of-emerging-and-selected-topics-in-power-electronics,82,0,IEEE Journal of Emerging and Selected Topics in Power Electronics,1
Engineering & Computer Science,Power Engineering,ieee-transactions-on-transportation-electrification,75,0,IEEE Transactions on Transportation Electrification,3
Engineering & Computer Science,Power Engineering,electric-power-systems-research,72,0,Electric Power Systems Research,17
Engineering & Computer Science,Power Engineering,ieee-transactions-on-power-delivery,67,0,IEEE Transactions on Power Delivery,2
Engineering & Computer Science,Power Engineering,ieee-transactions-on-energy-conversion,64,0,IEEE Transactions on Energy Conversion,5
Engineering & Computer Science,Power Engineering,journal-of-modern-power-systems-and-clean-energy,58,0,Journal of modern power systems and clean energy,9
Engineering & Computer Science,Power Engineering,csee-journal-of-power-and-energy-systems,54,0,CSEE Journal of Power and Energy Systems,2
Engineering & Computer Science,Power Engineering,iet-generation-transmission-and-distribution,52,0,Iet Generation Transmission & Distribution,13
Engineering & Computer Science,Power Engineering,iet-renewable-power-generation,51,0,Iet Renewable Power Generation,9
Engineering & Computer Science,Power Engineering,international-transactions-on-electrical-energy-systems,51,0,International Transactions on Electrical Energy Systems,10
Engineering & Computer Science,Power Engineering,sustainable-energy-grids-and-networks,49,0,"Sustainable Energy, Grids and Networks",2
Engineering & Computer Science,Power Engineering,protection-and-control-of-modern-power-systems,45,0,Protection and Control of Modern Power Systems,7
Engineering & Computer Science,Quality & Reliability,reliability-engineering-and-system-safety,101,0,Reliability Engineering & System Safety,23
Engineering & Computer Science,Quality & Reliability,safety-science,95,0,Safety Science,3
Engineering & Computer Science,Quality & Reliability,the-tqm-journal,56,0,The Tqm Journal,1
Engineering & Computer Science,Quality & Reliability,risk-analysis,53,0,Risk Analysis,19
Engineering & Computer Science,Quality & Reliability,ieee-transactions-on-reliability,50,0,IEEE Transactions on Reliability,11
Engineering & Computer Science,Quality & Reliability,international-journal-of-quality-and-reliability-management,46,0,International Journal of Quality & Reliability Management,1
Engineering & Computer Science,Quality & Reliability,structural-safety,44,0,Structural Safety,7
Engineering & Computer Science,Quality & Reliability,international-journal-of-systems-assurance-engineering-and-management,44,0,International Journal of Systems Assurance Engineering and Management,13
Engineering & Computer Science,Quality & Reliability,quality-and-reliability-engineering-international,36,0,Quality and Reliability Engineering International,18
Engineering & Computer Science,Quality & Reliability,international-journal-for-quality-research,29,0,International Journal for Quality Research,2
Engineering & Computer Science,Quality & Reliability,proceedings-of-the-institution-of-mechanical-engineers-part-o-journal-of-risk-and-reliability,28,0,"Proceedings Of The Institution Of Mechanical Engineers, Part O: Journal Of Risk And Reliability",3
Engineering & Computer Science,Quality & Reliability,asce-asme-journal-of-risk-and-uncertainty-in-engineering-systems-part-a-civil-engineering,25,0,"ASCE-ASME Journal of Risk and Uncertainty in Engineering Systems, Part A: Civil Engineering",1
Engineering & Computer Science,Quality & Reliability,quality-technology-and-quantitative-management,24,0,Quality Technology and Quantitative Management,1
Engineering & Computer Science,"Radar, Positioning & Navigation",ieee-transactions-on-aerospace-and-electronic-systems,69,0,IEEE Transactions on Aerospace and Electronic Systems,17
Engineering & Computer Science,"Radar, Positioning & Navigation",satellite-navigation,31,0,Satellite Navigation,1
Engineering & Computer Science,"Radar, Positioning & Navigation",the-journal-of-navigation,31,0,Journal of Navigation,2
Engineering & Computer Science,"Radar, Positioning & Navigation",iet-radar-sonar-and-navigation,30,0,Iet Radar Sonar and Navigation,5
Engineering & Computer Science,"Radar, Positioning & Navigation",navigation-journal-of-the-institute-of-navigation,28,0,Navigation: journal of the Institute of Navigation,1
Engineering & Computer Science,"Radar, Positioning & Navigation",transnav-international-journal-on-marine-navigation-and-safety-of-sea-transportation,22,0,TransNav: International Journal on Marine Navigation and Safety of Sea Transportation,3
Engineering & Computer Science,Remote Sensing,remote-sensing,159,0,Remote Sensing,566
Engineering & Computer Science,Remote Sensing,remote-sensing-of-environment,149,0,Remote Sensing of Environment,17
Engineering & Computer Science,Remote Sensing,ieee-transactions-on-geoscience-and-remote-sensing,141,0,IEEE Transactions on Geoscience and Remote Sensing,133
Engineering & Computer Science,Remote Sensing,isprs-journal-of-photogrammetry-and-remote-sensing,104,0,"ISPRS Open Journal of Photogrammetry and Remote Sensing, Isprs Journal of Photogrammetry and Remote Sensing",43
Engineering & Computer Science,Remote Sensing,ieee-geoscience-and-remote-sensing-letters,83,0,IEEE Geoscience and Remote Sensing Letters,42
Engineering & Computer Science,Remote Sensing,ieee-journal-of-selected-topics-in-applied-earth-observations-and-remote-sensing,80,0,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,100
Engineering & Computer Science,Remote Sensing,international-journal-of-applied-earth-observation-and-geoinformation,80,0,International journal of applied earth observation and geoinformation,17
Engineering & Computer Science,Remote Sensing,international-journal-of-remote-sensing,60,0,International Journal of Remote Sensing,6
Engineering & Computer Science,Remote Sensing,ieee-geoscience-and-remote-sensing-magazine,52,0,IEEE Geoscience and Remote Sensing Magazine,7
Engineering & Computer Science,Remote Sensing,geocarto-international,52,0,Geocarto International,4
Engineering & Computer Science,Remote Sensing,international-journal-of-digital-earth,46,0,International Journal of Digital Earth,12
Engineering & Computer Science,Remote Sensing,giscience-and-remote-sensing,41,0,Giscience & Remote Sensing,10
Engineering & Computer Science,Remote Sensing,the-international-archives-of-the-photogrammetry-remote-sensing-and-spatial-information-sciences,41,0,"The International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",235
Engineering & Computer Science,Remote Sensing,european-journal-of-remote-sensing,37,0,European Journal of Remote Sensing,25
Engineering & Computer Science,Remote Sensing,journal-of-the-indian-society-of-remote-sensing,36,0,Journal of The Indian Society of Remote Sensing,2
Engineering & Computer Science,Remote Sensing,annals-of-gis,30,0,Annals of GIS,7
Engineering & Computer Science,Robotics,ieee-international-conference-on-robotics-and-automation,122,1,2022 International Conference on Robotics and Automation (ICRA),91
Engineering & Computer Science,Robotics,ieee-robotics-and-automation-letters,117,1,IEEE robotics and automation letters,309
Engineering & Computer Science,Robotics,science-robotics,101,1,Science robotics,2
Engineering & Computer Science,Robotics,robotics-and-computer-integrated-manufacturing,88,1,Robotics and Computer-integrated Manufacturing,5
Engineering & Computer Science,Robotics,ieee-rsj-international-conference-on-intelligent-robots-and-systems,86,1,"2011 IEEE/RSJ International Conference on Intelligent Robots and Systems, 2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS), 2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)",245
Engineering & Computer Science,Robotics,ieee-transactions-on-robotics,83,1,IEEE Transactions on Robotics,34
Engineering & Computer Science,Robotics,ieee-transactions-on-automation-science-and-engineering-t-ase,75,1,IEEE Transactions on Automation Science and Engineering,17
Engineering & Computer Science,Robotics,ieee-asme-transactions-on-mechatronics,73,1,IEEE-ASME Transactions on Mechatronics,4
Engineering & Computer Science,Robotics,the-international-journal-of-robotics-research,68,1,The International Journal of Robotics Research,29
Engineering & Computer Science,Robotics,advanced-intelligent-systems,67,1,Advanced intelligent systems,18
Engineering & Computer Science,Robotics,robotics-science-and-systems,66,1,Robotics: Science and Systems,1
Engineering & Computer Science,Robotics,soft-robotics,63,1,Soft robotics,1
Engineering & Computer Science,Robotics,frontiers-in-robotics-and-ai,60,1,Frontiers in Robotics and AI,175
Engineering & Computer Science,Robotics,robotics-and-autonomous-systems,57,1,Robotics and Autonomous Systems,26
Engineering & Computer Science,Robotics,international-journal-of-social-robotics,56,1,International Journal of Social Robotics,26
Engineering & Computer Science,Robotics,journal-of-intelligent-and-robotic-systems,55,1,Journal of Intelligent and Robotic Systems,20
Engineering & Computer Science,Robotics,journal-of-field-robotics,53,1,Journal of Field Robotics,4
Engineering & Computer Science,Robotics,autonomous-robots,48,1,Autonomous Robots,29
Engineering & Computer Science,Signal Processing,ieee-transactions-on-image-processing,150,1,IEEE transactions on image processing,288
Engineering & Computer Science,Signal Processing,ieee-transactions-on-wireless-communications,139,1,IEEE Transactions on Wireless Communications,49
Engineering & Computer Science,Signal Processing,ieee-international-conference-on-acoustics-speech-and-signal-processing-icassp,129,1,"ICASSP 2022 - 2022 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP), IEEE International Conference on Acoustics Speech and Signal Processing, International Conference on Acoustics, Speech, and Signal Processing",526
Engineering & Computer Science,Signal Processing,conference-of-the-international-speech-communication-association-interspeech,111,1,Conference of the International Speech Communication Association,6
Engineering & Computer Science,Signal Processing,ieee-wireless-communications-letters,97,1,IEEE Wireless Communications Letters,27
Engineering & Computer Science,Signal Processing,ieee-transactions-on-circuits-and-systems-for-video-technology,94,1,IEEE Transactions on Circuits and Systems for Video Technology,94
Engineering & Computer Science,Signal Processing,ieee-transactions-on-signal-processing,93,1,IEEE Transactions on Signal Processing,192
Engineering & Computer Science,Signal Processing,ieee-journal-of-selected-topics-in-signal-processing,75,1,IEEE Journal of Selected Topics in Signal Processing,91
Engineering & Computer Science,Signal Processing,ieee-acm-transactions-on-audio-speech-and-language-processing,74,1,"IEEE Transactions on Audio, Speech, and Language Processing, IEEE/ACM transactions on audio, speech, and language processing",320
Engineering & Computer Science,Signal Processing,ieee-signal-processing-magazine,71,1,IEEE Signal Processing Magazine,40
Engineering & Computer Science,Signal Processing,signal-processing,69,1,Signal Processing,26
Engineering & Computer Science,Signal Processing,ieee-international-conference-on-image-processing-icip,66,1,2022 IEEE International Conference on Image Processing (ICIP),93
Engineering & Computer Science,Signal Processing,ieee-signal-processing-letters,66,1,IEEE Signal Processing Letters,152
Engineering & Computer Science,Signal Processing,journal-of-visual-communication-and-image-representation,52,1,Journal of Visual Communication and Image Representation,14
Engineering & Computer Science,Signal Processing,signal-processing-image-communication,50,1,"Signal Processing-image Communication, Signal Processing: Image Communication",30
Engineering & Computer Science,Signal Processing,iet-image-processing,49,1,Iet Image Processing,37
Engineering & Computer Science,Signal Processing,ieee-transactions-on-computational-imaging,47,1,IEEE transactions on computational imaging,14
Engineering & Computer Science,Signal Processing,ieee-international-conference-on-multimedia-and-expo,46,1,2022 IEEE International Conference on Multimedia and Expo (ICME),49
Engineering & Computer Science,Signal Processing,ieee-workshop-on-automatic-speech-recognition-and-understanding,45,1,"2017 IEEE Automatic Speech Recognition and Understanding Workshop (ASRU), 2019 IEEE Automatic Speech Recognition and Understanding Workshop (ASRU), 2021 IEEE Automatic Speech Recognition and Understanding Workshop (ASRU)",140
Engineering & Computer Science,Software Systems,acm-ieee-international-conference-on-software-engineering,84,1,International Conference on Software Engineering,2
